ip,duration,hostname,model,firmware,sysname_compliant,sysname_details,tacacs_compliant,tacacs_details,snmp_v3_check_compliant,snmp_v3_check_details,snmp_trap_check_compliant,snmp_trap_check_details
10.217.9.30,35.1,CLM-LABO-ARUBA,2930F-8G-PoE+-2SFP+  JL258A,WC.16.06.0006,True,Hostname 'CLM-LABO-ARUBA' is compliant,True,SSH/TACACS connectivity OK,True,SNMPv3 OK. Response: SNMPv2-SMI::mib-2.1.3.0 = 1314871687,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.9.29,54.1,NETW-CLM-LABO-COMWAREV7,5520 24G SFP 4SFP+ HI Swch R8M27A,"7.1.070, Release 6530P01",True,Hostname 'NETW-CLM-LABO-COMWAREV7' is compliant,True,SSH/TACACS connectivity OK,True,SNMPv3 OK. Response: SNMPv2-SMI::mib-2.1.3.0 = 1314928785,True,Configuration SNMP conforme.
10.217.9.27,55.7,NETw-CLM-LABO-HUAWEI,S5732-H24UM2CC,5.170 (S5732 V200R021C00SPC100),True,Hostname 'NETw-CLM-LABO-HUAWEI' is compliant,True,SSH/TACACS connectivity OK,True,SNMPv3 OK. Response: SNMPv2-SMI::mib-2.1.3.0 = 16662723,True,Configuration SNMP conforme.
10.217.9.28,132.6,CLM-LABO-COMWAREV5,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'CLM-LABO-COMWAREV5' is compliant,True,SSH/TACACS connectivity OK,True,SNMPv3 OK. Response: SNMPv2-SMI::mib-2.1.3.0 = 1314891800,True,Configuration SNMP conforme.
